target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_manually_added
18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
accessibility.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,TRUE,TRUE,FALSE
acqstack-journeymap.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
ads.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
agile-bpa.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
agile-labor-categories.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
agile.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,TRUE,TRUE,FALSE
api-all-the-x.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
api-program.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
api-usability-testing.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
atf-eregs.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,TRUE,TRUE,FALSE
atul-docker-presentation.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
automated-testing-playbook.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
before-you-ship.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
blogging-guide.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
boise.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
brand.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,TRUE,TRUE,FALSE
c2.18f.gov,18f.gov,Executive,General Services Administration,23,"GSA, TTS",,FALSE,FALSE,TRUE,FALSE
