name,value,count
FederalDomainsSourceList,gov url list length,1341
PulseSourceList,pulse url list length,24636
DapSourceList,dap url list length,10000
OmbIdeaSourceList,omb idea url list length,7049
EotwSourceList,eotw url list length,3118
UsaGovSourceList,usagov url list length,486
GovManSourceList,gov_man url list length,840
UsCourtsSourceList,uscourts url list length,310
OiraSourceList,oira url list length,477
MilOneSourceList,.mil second url list length,994
MilTwoSourceList,.mil first url list length,274
OtherSourceList,other website url list length,8061
DodPublicSourceList,dod public url list length,2947
DotMilSourceList,dot mil url list length,177
FinalUrlWebsiteSourceList,final url website list length,15621
House117thSourceList,House 117th url list length,588
Senate117thSourceList,Senate 117th url list length,144
GpoFdlpSourceList,GpoFdlp url list length,915
CisaSourceList,CISA url list length,21915
Dod2025SourceList,DOD 2025 url list length,1924
Dap2SourceList,dap2 url list length,10603
UsaGovClicksSourceList,usagov clicks url list length,8460
UsaGovClicksMilSourceList,usagov clicks mil url list length,1281
SearchGovSourceList,search gov url list length,1075
SearchGovMilSourceList,search gov mil url list length,394
PublicInventorySourceList,public inventory url list length,1289
Combined,combined url list length,124919
Deduped,deduped url list length,47439
Ignored,urls marked as filtered based on beginning/contains,6005
GovDomains,number of .gov base domains,1341
MilDomains,number of .mil base domains,177
GovMilNonMatching,number of urls with non-.gov or non-.mil base domains removed,11006
FinalList,url list length after non-federal urls removed,36433
DeadSites,number of urls after dead sites removed,31026
