target_url,Office,source_list_omb_idea
apps.bea.gov,,TRUE
bea.gov,,TRUE
acmt.bis.doc.gov,,TRUE
bis.gov,,TRUE
cars.bis.gov,,TRUE
cwc.gov,,TRUE
cwcweb.cwc.gov,,TRUE
efoia.bis.doc.gov,,TRUE
slid.bis.doc.gov,,TRUE
snapr.bis.gov,,TRUE
tac.bis.doc.gov,,TRUE
access.census.gov,,TRUE
api.census.gov,,TRUE
ask.census.gov,,TRUE
bds.explorer.ces.census.gov,,TRUE
bhs.econ.census.gov,,TRUE
cbb.census.gov,,TRUE
census.gov,,TRUE
coil.census.gov,,TRUE
data.census.gov,,TRUE
geocoding.geo.census.gov,,TRUE
j2jexplorer.ces.census.gov,,TRUE
ledextract.ces.census.gov,,TRUE
lehd.ces.census.gov,,TRUE
mtgis-portal.geo.census.gov,,TRUE
opportunity.census.gov,,TRUE
portal.census.gov,,TRUE
qwiexplorer.ces.census.gov,,TRUE
respond.census.gov,,TRUE
spd15revision.gov,,TRUE
tigerweb.geo.census.gov,,TRUE
usatrade.census.gov,,TRUE
www2.census.gov,,TRUE
xd.gov,,TRUE
eda.gov,,TRUE
sfgrants.eda.gov,,TRUE
2014-2018.firstnet.gov,,TRUE
5x5.firstnet.gov,,TRUE
firstnet.gov,,TRUE
access.trade.gov,,TRUE
beta.trade.gov,,TRUE
dataprivacyframework.gov,,TRUE
developer.trade.gov,,TRUE
enforcement.trade.gov,,TRUE
esel.trade.gov,,TRUE
legacy.export.gov,,TRUE
legacy.trade.gov,,TRUE
ofis.trade.gov,,TRUE
stopfakes.gov,,TRUE
trade.gov,,TRUE
wwtg.gov,,TRUE
mbda.gov,,TRUE
abacus.nist.gov,,TRUE
actev.nist.gov,,TRUE
acvts.nist.gov,,TRUE
adsorption.nist.gov,,TRUE
ai-challenges.nist.gov,,TRUE
airc.nist.gov,,TRUE
ambench.nist.gov,,TRUE
ambench2022.nist.gov,,TRUE
ammd.nist.gov,,TRUE
aphl.nist.gov,,TRUE
askchips.chips.gov,,TRUE
baldrigeresources.nist.gov,,TRUE
bbddata.nist.gov,,TRUE
boudicca.nist.gov,,TRUE
boulder.doc.gov,,TRUE
calnet.nist.gov,,TRUE
cccbdb.nist.gov,,TRUE
cda-validation.nist.gov,,TRUE
cdcs.registry.nist.gov,,TRUE
cfreds.nist.gov,,TRUE
cfreds-archive.nist.gov,,TRUE
chemdata.nist.gov,,TRUE
circular.nist.gov,,TRUE
code.nist.gov,,TRUE
concrete.nist.gov,,TRUE
consensus.nist.gov,,TRUE
covid19-data.nist.gov,,TRUE
csrc.nist.gov,,TRUE
cstl.nist.gov,,TRUE
data.nist.gov,,TRUE
decisiontree.nist.gov,,TRUE
dlmf.nist.gov,,TRUE
duc.nist.gov,,TRUE
e3.nist.gov,,TRUE
ecc.nist.gov,,TRUE
edges.nist.gov,,TRUE
emtoolbox.nist.gov,,TRUE
events.nist.gov,,TRUE
firedoc.nist.gov,,TRUE
fits.nist.gov,,TRUE
gams.nist.gov,,TRUE
gashydrates.nist.gov,,TRUE
ghgr.nist.gov,,TRUE
hit-dev.nist.gov,,TRUE
hit-nexus.nist.gov,,TRUE
hl7v2-elr-testing.nist.gov,,TRUE
hl7v2-gvt.nist.gov,,TRUE
hl7v2-igamt.nist.gov,,TRUE
hl7v2-igamt-2.nist.gov,,TRUE
hl7v2-iz-cdc-testing.nist.gov,,TRUE
hl7v2-iz-r1-5-testing.nist.gov,,TRUE
hl7v2-lab-r2-testing.nist.gov,,TRUE
hl7v2-lab-testing.nist.gov,,TRUE
hl7v2-ss-r2-testing.nist.gov,,TRUE
hl7v2tools.nist.gov,,TRUE
ibal.nist.gov,,TRUE
icsd.nist.gov,,TRUE
ihe-pcd.nist.gov,,TRUE
ihexds.nist.gov,,TRUE
ilthermo.boulder.nist.gov,,TRUE
ir.nist.gov,,TRUE
isg.nist.gov,,TRUE
its90.nist.gov,,TRUE
janaf.nist.gov,,TRUE
jarvis.nist.gov,,TRUE
kinetics.nist.gov,,TRUE
lre.nist.gov,,TRUE
maldi.nist.gov,,TRUE
manufacturing.gov,,TRUE
materials.registry.nist.gov,,TRUE
math.nist.gov,,TRUE
mdcs.nist.gov,,TRUE
meis.nist.gov,,TRUE
mfc.nist.gov,,TRUE
mgi.gov,,TRUE
nccoe.nist.gov,,TRUE
ncp.nist.gov,,TRUE
nehrp.gov,,TRUE
nehrpsearch.nist.gov,,TRUE
nemo.nist.gov,,TRUE
nestr.nist.gov,,TRUE
nextg.nist.gov,,TRUE
nigos.nist.gov,,TRUE
nist.gov,,TRUE
nlte.nist.gov,,TRUE
nvd.nist.gov,,TRUE
nvlpubs.nist.gov,,TRUE
openfad.nist.gov,,TRUE
p-act.nist.gov,,TRUE
pages.nist.gov,,TRUE
pah.nist.gov,,TRUE
phasedata.nist.gov,,TRUE
potentials.nist.gov,,TRUE
pv2.nist.gov,,TRUE
