target_url,branch,agency,bureau,source_list_federal_domains
acus.gov,Executive,Administrative Conference of the United States,Administrative Conference of the United States,TRUE
achp.gov,Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,TRUE
preserveamerica.gov,Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,TRUE
abmc.gov,Executive,American Battle Monuments Commission,American Battle Monuments Commission,TRUE
amtrakoig.gov,Executive,AMTRAK,Office of Inspector General,TRUE
arc.gov,Executive,Appalachian Regional Commission,Appalachian Regional Commission,TRUE
asc.gov,Executive,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,Appraisal Subcommittee,TRUE
afrh.gov,Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,TRUE
goldwaterscholarship.gov,Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,TRUE
cia.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,TRUE
ic.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,TRUE
istac.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,TRUE
odci.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,TRUE
opensource.gov,Executive,Central Intelligence Agency,DNI Open Source Center,TRUE
osde.gov,Executive,Central Intelligence Agency,CIA\GCS OSEG,TRUE
ucia.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,TRUE
coldcaserecords.gov,Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,TRUE
cftc.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,TRUE
devcftc.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,TRUE
smartcheck.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,TRUE
whistleblower.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,TRUE
bcfp.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
cfpa.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
cfpb.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerfinance.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerfinancialbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerfinancial.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerfinancialprotectionbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerprotectionbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
consumerprotection.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
mimm.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,TRUE
anchorit.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
atvsafety.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
cpsc.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
drywallresponse.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
poolsafely.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
poolsafety.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
recalls.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
saferproduct.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
saferproducts.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
seguridadconsumidor.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,TRUE
americorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
americorpsoig.gov,Executive,Corporation for National and Community Service,AmeriCorps Office of Inspector General,TRUE
cncs.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
cncsoig.gov,Executive,Corporation for National and Community Service,"Corporation for National and Community Service, Office Of Inspector General,",TRUE
cns.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
joinamericorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
mentor.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
mlkday.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
nationalservice.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
presidentialserviceawards.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
serve.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
vistacampus.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
volunteeringinamerica.gov,Executive,Corporation for National and Community Service,AmeriCorps,TRUE
cigie.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,TRUE
ignet.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,TRUE
